source,target,time
0,1,2.03
0,398,2.36
0,621,2.88
0,947,3.49
1,530,3.68
1,796,3.97
1,75,4.44
947,33,5.06
1,45,5.21
1,977,5.36
0,140,5.36
1,156,6.0
1,948,6.83
1,251,6.89
75,177,7.3
0,384,8.49
33,232,8.76
0,304,8.96
0,382,8.98
1,15,9.38
140,618,9.7
140,650,9.94
75,112,9.96
0,2,10.11
1,484,10.56
33,188,11.57
2,166,11.75
75,795,11.84
0,20,12.1
484,503,12.2
1,491,12.44
0,3,12.62
45,728,13.39
1,681,13.82
75,21,14.03
0,139,14.03
1,210,14.58
1,978,14.7
0,791,15.28
15,237,15.39
140,983,15.49
0,201,16.04
140,756,16.22
1,133,16.5
0,68,17.1
1,253,17.17
139,176,17.24
0,289,17.41
621,710,17.51
15,673,17.55
112,699,17.64
156,433,17.66
1,141,17.73
251,938,17.84
0,271,18.01
20,8,18.09
1,809,18.11
45,399,18.72
1,189,18.86
1,510,19.15
253,4,19.64
140,705,19.7
15,331,19.71
3,217,19.91
177,186,19.95
232,386,19.97
0,628,20.4
140,147,20.47
201,228,20.54
188,247,20.66
68,262,20.8
4,194,20.89
304,907,20.96
15,376,21.31
1,275,21.5
0,77,21.51
4,12,21.52
1,43,21.64
4,80,21.65
3,998,21.77
796,761,21.85
0,255,21.97
33,48,21.97
503,101,22.02
0,434,22.06
21,16,22.15
8,278,22.19
4,729,22.28
4,30,22.48
0,7,22.51
33,730,22.66
21,34,22.83
4,117,23.05
112,419,23.11
75,363,23.14
15,383,23.18
0,60,23.2
166,549,23.26
1,401,23.41
3,314,23.43
0,18,23.5
1,137,23.73
1,99,23.8
15,602,23.86
16,219,23.87
1,267,23.93
112,531,23.95
43,229,23.95
1,67,23.99
4,808,24.04
251,547,24.21
43,873,24.31
201,597,24.4
33,5,24.47
33,541,24.71
186,432,24.82
186,902,24.94
210,92,25.05
137,859,25.1
386,144,25.13
188,538,25.14
4,634,25.17
137,677,25.37
15,47,25.38
2,238,25.45
791,469,25.53
33,97,25.66
4,316,25.87
15,118,25.91
4,192,26.01
541,779,26.07
219,414,26.46
141,315,26.54
5,22,26.75
5,42,26.89
43,646,26.91
304,608,26.92
47,962,27.01
8,14,27.19
219,290,27.31
4,200,27.32
419,656,27.44
16,630,27.75
137,548,28.22
15,73,28.25
99,225,28.26
18,167,28.28
16,576,28.32
977,929,28.51
43,816,28.74
4,157,28.99
210,524,29.0
219,742,29.19
147,775,29.26
14,561,29.27
210,311,29.29
22,617,29.32
60,489,29.32
15,131,29.55
188,446,29.66
4,718,30.15
5,609,30.43
524,817,30.43
2,41,30.64
68,160,30.65
201,891,30.96
131,170,31.0
99,460,31.15
4,405,31.22
147,155,31.65
101,283,31.67
617,6,32.1
3,698,32.29
331,44,32.32
290,937,32.36
201,211,32.45
16,666,32.76
8,611,32.76
219,737,32.77
155,32,32.83
469,603,32.85
469,37,32.88
176,824,32.89
22,152,32.97
48,511,33.1
247,79,33.46
376,624,33.5
6,464,33.53
47,243,33.56
77,69,33.59
331,559,33.67
80,886,33.68
576,641,34.07
18,478,34.13
152,485,34.31
44,332,34.34
4,676,34.42
92,488,34.42
30,199,34.51
12,84,34.58
210,509,34.72
331,702,35.08
92,966,35.11
60,355,35.12
21,436,35.23
4,102,35.24
228,462,35.38
157,269,35.76
332,836,35.79
194,857,35.86
101,842,35.96
6,182,36.12
144,126,36.29
199,236,36.41
983,85,36.57
6,29,36.59
524,841,36.79
16,987,36.82
646,50,36.95
18,605,36.98
5,24,37.1
8,10,37.17
67,823,37.24
4,23,37.33
77,145,37.46
641,148,37.48
160,671,37.51
68,596,37.55
48,832,37.73
4,657,37.86
85,574,37.94
85,57,38.14
32,595,38.34
176,264,38.46
511,27,38.51
84,123,38.61
4,288,38.82
238,61,38.87
18,54,39.08
4,218,39.11
126,82,39.47
167,940,39.82
32,81,39.85
85,277,39.91
6,766,39.98
14,134,40.0
176,208,40.08
24,889,40.12
4,463,40.12
311,35,40.2
4,678,40.24
200,934,40.32
85,542,40.51
18,598,40.63
4,440,40.69
77,951,40.79
92,103,40.81
611,581,40.88
80,360,40.89
376,976,40.9
5,507,40.92
101,649,40.95
574,348,41.29
538,868,41.36
194,911,41.4
79,957,41.53
6,203,41.77
170,233,41.84
18,994,41.9
50,748,41.95
14,280,42.13
229,91,42.21
43,471,42.23
383,726,42.31
41,974,42.34
131,794,42.37
41,183,42.42
14,790,42.55
200,819,42.59
4,553,42.6
4,114,42.65
929,461,42.71
82,502,42.74
82,165,42.81
29,26,42.93
69,918,42.96
10,406,42.97
405,111,43.15
485,972,43.16
748,675,43.28
332,404,43.49
85,409,43.54
29,626,43.57
4,174,43.58
998,441,43.6
102,504,44.05
27,712,44.08
43,610,44.11
348,793,44.14
69,975,44.14
73,66,44.26
80,848,44.29
315,132,44.53
5,62,44.58
194,980,44.64
42,508,44.65
44,916,44.73
790,181,44.76
26,613,44.78
183,394,44.83
16,317,44.83
488,146,44.83
649,31,44.87
26,527,44.91
18,51,45.04
30,98,45.07
32,466,45.11
182,143,45.25
626,642,45.43
6,231,45.55
26,65,45.56
6,115,45.62
48,696,45.64
824,151,45.84
92,163,46.03
464,692,46.38
61,990,46.67
82,812,46.82
42,223,46.83
54,534,47.02
677,285,47.05
10,724,47.06
794,364,47.32
37,259,47.32
441,800,47.58
5,11,47.67
69,521,47.78
5,778,48.19
6,110,48.21
218,190,48.31
24,579,48.71
203,39,48.71
62,214,48.72
69,701,48.73
605,496,48.86
203,329,48.94
290,351,49.06
61,308,49.13
609,691,49.53
62,310,49.77
57,94,49.98
559,52,49.99
61,333,50.26
31,55,50.84
54,49,51.31
6,416,51.62
69,142,51.85
6,452,51.87
737,996,51.88
102,944,51.94
310,321,52.1
406,781,52.31
66,184,52.41
561,599,52.42
886,319,52.51
696,777,52.53
277,829,52.57
49,707,52.6
243,660,52.62
27,119,52.82
163,421,52.85
404,245,52.88
10,830,52.93
696,935,52.96
485,546,53.15
82,572,53.22
82,746,53.31
145,506,53.42
26,522,53.46
65,326,53.83
26,128,54.27
49,407,54.42
409,663,54.48
940,430,54.56
165,305,54.63
332,209,54.94
115,991,55.43
32,945,55.83
61,706,56.2
69,162,56.23
52,468,56.35
85,122,56.35
61,120,56.42
974,273,56.5
508,377,56.55
31,967,56.6
50,589,56.62
55,686,56.74
10,108,57.0
348,359,57.13
49,638,57.24
991,858,57.27
62,87,57.31
69,244,57.35
223,374,57.59
996,249,57.73
707,334,57.95
62,700,58.15
49,585,58.46
181,224,58.56
598,296,58.58
103,752,58.61
10,884,58.81
355,362,58.83
321,734,59.0
277,381,59.22
572,988,59.23
613,708,59.39
26,109,59.54
842,607,59.55
82,239,59.56
27,539,59.66
841,240,59.86
542,474,59.87
145,648,60.17
